sample interval	   ECG1	   ECG2
(0,0078125 sec)	   (mV)	   (mV)
              0	 -0.505	  0.615
              1	 -0.495	  0.755
              2	 -0.545	  0.805
              3	 -0.445	  0.865
              4	 -0.275	  0.815
              5	 -0.145	  0.395
              6	 -0.135	 -0.035
              7	 -0.125	 -0.105
              8	 -0.135	 -0.145
              9	 -0.125	 -0.155
             10	 -0.125	 -0.135
             11	 -0.115	 -0.215
             12	 -0.115	 -0.215
             13	 -0.115	 -0.215
             14	 -0.095	 -0.205
             15	 -0.105	 -0.195
             16	 -0.095	 -0.185
             17	 -0.095	 -0.185
             18	 -0.095	 -0.185
             19	 -0.085	 -0.185
             20	 -0.095	 -0.155
             21	 -0.055	 -0.055
             22	 -0.045	 -0.205
             23	 -0.055	 -0.225
             24	 -0.045	 -0.205
             25	 -0.045	 -0.215
             26	 -0.045	 -0.185
             27	 -0.025	 -0.165
             28	 -0.005	 -0.145
             29	  0.005	 -0.135
             30	  0.015	 -0.115
             31	  0.025	 -0.135
             32	  0.065	  0.015
             33	  0.125	 -0.085
             34	  0.135	 -0.135
             35	  0.165	 -0.065
             36	  0.195	 -0.035
             37	  0.235	  0.005
             38	  0.275	  0.015
             39	  0.285	  0.015
             40	  0.305	  0.045
             41	  0.305	  0.095
             42	  0.285	  0.025
             43	  0.255	  0.005
             44	  0.185	 -0.005
             45	  0.125	  0.005
             46	  0.065	 -0.055
             47	 -0.025	 -0.095
             48	 -0.055	 -0.095
             49	 -0.115	 -0.135
             50	 -0.145	 -0.165
             51	 -0.185	 -0.195
             52	 -0.165	 -0.085
             53	 -0.155	 -0.135
             54	 -0.185	 -0.235
             55	 -0.195	 -0.265
             56	 -0.195	 -0.245
             57	 -0.185	 -0.175
             58	 -0.205	 -0.195
             59	 -0.195	 -0.185
             60	 -0.175	 -0.165
             61	 -0.185	 -0.165
             62	 -0.175	 -0.175
             63	 -0.175	 -0.165
             64	 -0.165	 -0.165
             65	 -0.145	 -0.155
             66	 -0.185	 -0.155
             67	 -0.155	 -0.145
             68	 -0.135	 -0.135
             69	 -0.135	 -0.155
             70	 -0.125	 -0.125
             71	 -0.115	 -0.195
             72	 -0.125	 -0.185
             73	 -0.135	 -0.165
             74	 -0.145	 -0.165
             75	 -0.115	 -0.165
             76	 -0.135	 -0.175
             77	 -0.135	 -0.055
             78	 -0.125	 -0.175
             79	 -0.135	 -0.215
             80	 -0.135	 -0.195
             81	 -0.145	 -0.135
             82	 -0.135	 -0.095
             83	 -0.135	 -0.225
             84	 -0.145	 -0.205
             85	 -0.135	 -0.175
             86	 -0.145	 -0.185
             87	 -0.135	 -0.075
             88	 -0.125	 -0.195
             89	 -0.145	 -0.225
             90	 -0.155	 -0.175
             91	 -0.135	 -0.175
             92	 -0.155	 -0.165
             93	 -0.155	 -0.155
             94	 -0.145	 -0.155
             95	 -0.135	 -0.145
             96	 -0.145	 -0.175
             97	 -0.145	 -0.155
             98	 -0.155	 -0.145
             99	 -0.125	 -0.115
            100	 -0.145	 -0.205
            101	 -0.125	 -0.125
            102	 -0.135	 -0.235
            103	 -0.135	 -0.205
            104	 -0.135	 -0.175
            105	 -0.135	 -0.145
            106	 -0.145	 -0.155
            107	 -0.135	 -0.145
            108	 -0.135	 -0.155
            109	 -0.125	 -0.125
            110	 -0.125	 -0.155
            111	 -0.145	 -0.155
            112	 -0.125	 -0.085
            113	 -0.125	 -0.155
            114	 -0.145	 -0.145
            115	 -0.135	 -0.185
            116	 -0.125	 -0.095
            117	 -0.125	 -0.155
            118	 -0.115	 -0.135
            119	 -0.125	 -0.175
            120	 -0.135	 -0.155
            121	 -0.115	 -0.135
            122	 -0.135	 -0.115
            123	 -0.115	 -0.165
            124	 -0.115	 -0.145
            125	 -0.135	 -0.125
