sample interval	   ECG1	   ECG2
(0,0078125 sec)	   (mV)	   (mV)
              0	 -0.150	 -0.080
              1	 -0.130	 -0.080
              2	 -0.200	 -0.100
              3	 -0.170	 -0.080
              4	 -0.130	 -0.090
              5	 -0.190	 -0.080
              6	 -0.180	 -0.070
              7	 -0.190	 -0.060
              8	 -0.190	 -0.070
              9	 -0.120	 -0.050
             10	 -0.140	 -0.060
             11	 -0.130	 -0.030
             12	 -0.150	 -0.040
             13	 -0.060	 -0.020
             14	 -0.070	 -0.020
             15	  0.020	  0.000
             16	 -0.010	  0.030
             17	  0.050	  0.000
             18	  0.070	 -0.140
             19	 -0.030	 -0.180
             20	  0.030	 -0.100
             21	 -0.060	 -0.160
             22	 -0.050	 -0.180
             23	 -0.110	 -0.230
             24	  0.080	 -0.130
             25	 -0.180	 -0.140
             26	  0.040	 -0.020
             27	 -0.170	 -0.050
             28	  0.010	  0.000
             29	 -0.250	 -0.090
             30	 -0.120	  0.030
             31	 -0.200	 -0.090
             32	 -0.100	 -0.090
             33	 -0.240	 -0.020
             34	 -0.110	 -0.070
             35	 -0.070	 -0.010
             36	 -0.050	  0.260
             37	  0.150	  0.260
             38	  0.380	 -0.380
             39	  1.015	 -1.020
             40	  1.650	 -1.660
             41	  1.010	 -1.950
             42	  0.370	 -1.830
             43	 -0.270	 -1.195
             44	 -0.760	 -0.560
             45	 -0.125	  0.050
             46	 -0.190	  0.030
             47	 -0.220	  0.070
             48	 -0.180	  0.090
             49	 -0.160	  0.100
             50	 -0.240	  0.110
             51	  0.080	  0.110
             52	 -0.080	  0.140
             53	  0.060	  0.080
             54	  0.010	  0.080
             55	 -0.060	  0.060
             56	 -0.100	  0.090
             57	 -0.010	  0.060
             58	  0.010	  0.080
             59	  0.050	  0.080
             60	  0.010	  0.110
             61	  0.220	  0.110
             62	  0.030	  0.120
             63	  0.160	  0.130
             64	  0.180	  0.170
             65	  0.290	  0.210
             66	  0.380	  0.220
             67	  0.440	  0.270
             68	  0.470	  0.290
             69	  0.540	  0.340
             70	  0.450	  0.320
             71	  0.560	  0.310
             72	  0.520	  0.310
             73	  0.620	  0.340
             74	  0.520	  0.280
             75	  0.580	  0.280
             76	  0.520	  0.220
             77	  0.520	  0.150
             78	  0.350	  0.090
             79	  0.310	  0.060
             80	  0.170	  0.020
             81	  0.110	  0.010
             82	  0.010	 -0.010
             83	 -0.080	 -0.030
             84	 -0.090	 -0.030
             85	 -0.190	 -0.040
             86	 -0.110	  0.000
             87	 -0.150	 -0.020
             88	 -0.140	  0.020
             89	 -0.030	  0.040
             90	 -0.020	  0.030
             91	 -0.040	  0.420
             92	  0.020	 -0.200
             93	 -0.030	  0.340
             94	  0.100	 -0.140
             95	  0.030	  0.170
             96	  0.110	  0.140
             97	  0.110	  0.210
             98	  0.070	 -0.030
             99	  0.140	  0.290
            100	  0.040	  0.080
            101	 -0.010	  0.090
            102	  0.120	  0.000
            103	 -0.010	  0.420
            104	 -0.040	 -0.110
            105	 -0.100	  0.060
            106	 -0.090	 -0.080
            107	  0.030	  0.020
            108	 -0.040	  0.030
            109	 -0.030	  0.030
            110	  0.000	  0.060
            111	 -0.180	  0.060
            112	 -0.210	  0.070
            113	  0.080	  0.100
            114	 -0.090	  0.080
            115	 -0.020	  0.060
            116	 -0.060	  0.110
            117	  0.010	  0.140
            118	  0.160	  0.080
            119	  0.040	 -0.070
            120	  0.080	 -0.020
            121	 -0.110	 -0.070
            122	 -0.080	 -0.010
            123	 -0.020	 -0.060
            124	 -0.100	 -0.130
            125	 -0.010	 -0.070
            126	 -0.010	  0.010
            127	 -0.040	  0.040
            128	 -0.060	  0.030
            129	 -0.080	 -0.030
            130	 -0.180	 -0.010
            131	 -0.080	  0.030
            132	 -0.160	 -0.030
            133	 -0.150	 -0.020
            134	 -0.130	 -0.060
            135	 -0.130	 -0.070
            136	 -0.100	 -0.080
            137	 -0.040	  0.190
            138	  0.000	  0.240
            139	  0.280	  0.080
            140	  0.670	 -0.560
            141	  1.305	 -1.200
            142	  1.940	 -1.840
            143	  1.300	 -1.840
            144	  0.660	 -1.770
            145	  0.020	 -1.135
            146	 -0.620	 -0.500
            147	 -0.260	  0.010
            148	 -0.170	  0.010
            149	 -0.200	  0.040
            150	 -0.150	  0.070
            151	 -0.180	  0.070
            152	 -0.070	  0.080
            153	 -0.090	  0.080
            154	 -0.080	  0.090
            155	 -0.100	  0.100
            156	 -0.060	  0.100
            157	 -0.020	  0.070
            158	 -0.060	  0.110
            159	 -0.010	  0.120
            160	  0.050	  0.090
            161	  0.060	  0.130
            162	  0.080	  0.130
            163	  0.160	  0.170
            164	  0.190	  0.200
            165	  0.340	  0.220
            166	  0.340	  0.220
            167	  0.490	  0.260
            168	  0.540	  0.270
            169	  0.730	  0.290
            170	  0.770	  0.340
            171	  0.920	  0.350
            172	  0.990	  0.360
            173	  1.050	  0.320
            174	  0.980	  0.320
            175	  1.100	  0.300
            176	  1.030	  0.210
            177	  0.800	  0.200
            178	  0.650	  0.180
            179	  0.480	  0.100
            180	  0.230	  0.070
            181	  0.040	  0.040
            182	  0.010	 -0.010
            183	 -0.060	  0.040
            184	 -0.070	  0.000
            185	 -0.180	 -0.040
            186	 -0.140	 -0.020
            187	 -0.200	 -0.040
            188	 -0.190	 -0.010
            189	 -0.210	  0.020
            190	 -0.120	  0.000
            191	 -0.030	 -0.070
            192	  0.400	  0.070
            193	  0.910	 -0.030
            194	  1.250	 -0.300
            195	  1.420	 -0.730
            196	  2.055	 -1.270
            197	  2.690	 -1.540
            198	  3.325	 -1.210
            199	  3.960	 -1.110
            200	  4.595	 -0.680
            201	  3.955	 -0.700
            202	  3.315	 -0.065
            203	  2.675	  0.140
            204	  2.035	  0.040
            205	  1.395	  0.010
            206	  0.755	  0.060
            207	  0.115	  0.010
            208	 -0.525	  0.030
            209	 -0.870	  0.040
            210	 -0.950	  0.060
            211	 -1.000	  0.080
            212	 -0.970	  0.090
            213	 -1.080	  0.140
            214	 -1.090	  0.100
            215	 -1.150	  0.140
            216	 -1.150	  0.110
            217	 -1.240	  0.130
            218	 -1.410	  0.040
            219	 -1.390	  0.090
            220	 -1.580	  0.200
            221	 -1.660	  0.270
            222	 -1.740	  0.320
            223	 -1.790	  0.310
            224	 -2.170	  0.370
            225	 -1.980	  0.410
            226	 -2.280	  0.390
            227	 -2.280	  0.390
            228	 -2.210	  0.390
            229	 -2.060	  0.370
            230	 -1.980	  0.310
            231	 -1.820	  0.260
            232	 -1.520	  0.240
            233	 -1.150	  0.160
            234	 -0.860	  0.160
            235	 -0.670	  0.070
            236	 -0.570	  0.110
            237	 -0.430	  0.080
            238	 -0.370	  0.130
            239	 -0.400	  0.110
            240	 -0.360	  0.100
            241	 -0.350	  0.130
            242	 -0.410	  0.140
            243	 -0.430	  0.180
            244	 -0.280	  0.130
            245	 -0.230	  0.160
            246	 -0.250	  0.190
            247	 -0.280	  0.170
            248	 -0.140	  0.140
            249	 -0.410	  0.170
            250	 -0.090	  0.150
            251	 -0.310	  0.170
            252	 -0.070	  0.150
            253	 -0.220	  0.130
            254	 -0.210	  0.110
            255	 -0.130	  0.100
            256	 -0.150	  0.100
            257	 -0.270	  0.090
            258	 -0.250	  0.080
            259	 -0.060	  0.080
            260	 -0.160	  0.100
            261	 -0.160	  0.090
            262	 -0.250	  0.080
            263	 -0.180	  0.080
            264	 -0.200	  0.070
            265	 -0.190	  0.080
            266	 -0.200	  0.040
            267	 -0.200	  0.010
            268	 -0.180	 -0.020
            269	 -0.240	  0.020
            270	 -0.160	 -0.020
            271	 -0.210	 -0.040
            272	 -0.060	 -0.010
            273	 -0.230	 -0.020
            274	 -0.140	 -0.010
            275	 -0.250	 -0.060
            276	 -0.070	 -0.070
            277	 -0.210	 -0.070
            278	 -0.190	 -0.100
            279	 -0.100	 -0.060
            280	 -0.190	 -0.080
            281	 -0.180	 -0.090
            282	 -0.210	 -0.070
            283	 -0.090	 -0.100
            284	 -0.170	 -0.090
            285	 -0.160	 -0.090
            286	 -0.150	 -0.080
            287	 -0.190	 -0.110
            288	 -0.200	 -0.100
            289	 -0.190	 -0.070
            290	 -0.210	 -0.080
            291	 -0.160	 -0.120
            292	 -0.200	 -0.080
            293	 -0.160	 -0.110
            294	 -0.130	 -0.070
            295	 -0.220	 -0.090
            296	 -0.110	 -0.060
            297	 -0.210	 -0.070
            298	 -0.090	 -0.090
            299	 -0.170	 -0.080
            300	 -0.090	 -0.090
            301	 -0.210	 -0.060
            302	 -0.160	 -0.090
            303	 -0.130	 -0.090
            304	 -0.100	 -0.090
            305	 -0.130	 -0.060
            306	 -0.150	 -0.090
            307	 -0.140	 -0.060
            308	 -0.160	 -0.110
            309	  0.190	 -0.070
